,country,median_age_total,age_0-14_perc,age_15-24_perc,age_25-54_perc,age_55-64_perc,age_65+_perc
131,Mauritius,35.3,20.16,14.8,43.74,11.59,9.71
180,Seychelles,35.4,19.88,13.24,49.36,9.88,7.64
205,Trinidad and Tobago,36.0,19.29,11.88,45.56,12.61,10.65
52,Curacao,36.1,20.0,14.33,36.87,13.69,15.1
28,British Virgin Islands,36.5,16.7,13.37,49.37,11.6,8.97
91,Iceland,36.5,20.4,13.5,39.88,11.81,14.42
47,Cook Islands,36.6,21.12,16.63,38.09,11.99,12.16
134,Moldova,36.7,18.18,12.32,43.4,13.46,12.64
96,Ireland,36.8,21.46,11.84,43.2,10.42,13.07
53,Cyprus,36.8,15.6,13.81,47.04,11.45,12.09
42,China,37.4,17.15,12.78,48.51,10.75,10.81
66,Faroe Islands,37.6,19.89,14.34,37.31,11.69,16.76
201,Thailand,37.7,16.93,14.17,46.32,12.0,10.58
146,New Zealand,37.9,19.69,13.35,39.82,11.89,15.25
122,Macedonia,37.9,17.17,13.41,43.6,12.41,13.41
102,Jersey,38.0,16.23,13.91,40.99,12.53,16.34
74,Georgia,38.1,18.08,11.94,40.96,13.01,16.01
215,United States,38.1,18.73,13.27,39.45,12.91,15.63
17,Barbados,38.6,17.97,12.74,44.06,13.43,11.81
11,Australia,38.7,17.8,12.79,41.45,11.83,16.14
151,Norway,39.2,18.0,12.58,41.01,11.71,16.71
121,Macau,39.3,14.1,11.73,50.1,13.5,10.57
120,Luxembourg,39.3,16.77,12.18,44.27,11.77,15.02
10,Aruba,39.3,17.64,12.78,41.72,14.28,13.59
165,Russia,39.6,17.12,9.46,44.71,14.44,14.28
38,Cayman Islands,40.0,18.0,12.41,42.52,14.47,12.59
18,Belarus,40.0,15.78,10.29,44.76,14.21,14.95
184,Slovakia,40.5,15.17,10.87,45.1,13.42,15.43
214,United Kingdom,40.5,17.53,11.9,40.55,11.98,18.04
212,Ukraine,40.6,15.76,9.86,44.29,13.8,16.3
198,Taiwan,40.7,12.88,12.88,46.41,14.12,13.72
160,Poland,40.7,14.76,10.7,43.48,14.21,16.86
137,Montenegro,40.7,15.1,9.58,46.59,13.58,15.14
183,Sint Maarten,41.0,18.43,14.59,41.99,15.92,9.07
221,Virgin Islands,41.0,20.41,11.19,37.07,13.78,17.55
164,Romania,41.1,14.35,10.6,46.03,12.61,16.41
195,Sweden,41.2,17.43,11.31,39.42,11.58,20.26
19,Belgium,41.4,17.16,11.34,40.05,12.86,18.58
69,France,41.4,18.53,11.79,37.78,12.42,19.48
162,Puerto Rico,41.5,15.77,13.71,38.1,12.93,19.48
51,Cuba,41.5,16.57,12.22,44.43,11.84,14.94
128,Malta,41.8,15.04,11.44,39.98,13.98,19.56
108,"Korea, South",41.8,13.21,12.66,45.52,14.49,14.12
168,"Saint Helena, Ascension, and Tristan da Cunha",41.9,15.97,12.19,43.89,12.83,15.13
54,Czechia,42.1,15.16,9.59,43.84,12.44,18.98
25,Bosnia and Herzegovina,42.1,13.29,11.58,45.88,14.83,14.43
37,Canada,42.2,15.44,11.85,39.99,14.1,18.63
55,Denmark,42.2,16.41,13.08,38.76,12.52,19.23
161,Portugal,42.2,15.34,11.36,41.72,12.18,19.4
90,Hungary,42.3,14.71,10.96,41.88,13.4,19.05
196,Switzerland,42.4,15.16,10.88,43.21,12.6,18.15
68,Finland,42.5,16.43,11.4,37.78,13.29,21.1
179,Serbia,42.6,14.5,11.26,41.32,14.49,18.43
144,Netherlands,42.6,16.41,12.07,39.52,13.28,18.73
190,Spain,42.7,15.38,9.58,44.91,12.14,17.98
30,Bulgaria,42.7,14.58,9.58,43.21,13.35,19.28
64,Estonia,42.7,16.23,8.99,41.37,13.57,19.85
50,Croatia,43.0,14.21,11.24,40.43,14.82,19.31
118,Liechtenstein,43.2,15.26,11.65,41.64,14.03,17.41
22,Bermuda,43.4,17.04,12.0,37.24,15.73,17.98
113,Latvia,43.6,15.15,9.45,41.75,14.1,19.55
119,Lithuania,43.7,15.01,11.09,40.05,14.17,19.67
83,Guernsey,43.8,14.51,11.13,41.67,13.11,19.58
12,Austria,44.0,14.01,11.07,42.42,13.23,19.26
167,Saint Barthelemy,44.1,16.41,7.24,43.78,15.83,16.75
97,Isle of Man,44.2,16.28,11.43,38.79,13.13,20.36
4,Andorra,44.3,14.4,9.64,46.18,14.16,15.61
89,Hong Kong,44.4,12.19,10.43,44.68,16.17,16.53
175,San Marino,44.4,15.22,11.52,40.78,12.92,19.56
78,Greece,44.5,13.83,9.67,42.45,13.13,20.91
185,Slovenia,44.5,13.32,9.45,42.9,14.83,19.51
99,Italy,45.5,13.65,9.66,42.16,12.99,21.53
172,Saint Pierre and Miquelon,46.5,15.29,9.05,41.79,13.54,20.33
75,Germany,47.1,12.82,10.09,40.45,14.58,22.06
101,Japan,47.3,12.84,9.64,37.5,12.15,27.87
135,Monaco,53.1,10.68,9.27,32.91,14.94,32.21
